trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,r_dollars,pnl,exit_price,exit_reason
0,2025-12-01 00:00:00+00:00,AUDUSD,BUY,0.6544700000000001,0.13,0.6506064285714287,,monday_drift,0.6,50.2264285714282,-4.1600000000013,0.65415,time_stop
1,2025-12-08 00:00:00+00:00,AUDUSD,BUY,0.66368,0.15,0.6604771428571429,,monday_drift,0.6,48.0428571428565,-20.7,0.6623,time_stop
2,2025-12-15 00:00:00+00:00,AUDUSD,BUY,0.66453,0.13,0.6608992857142858,,monday_drift,0.6,47.1992857142846,-8.45,0.66388,time_stop
3,2025-12-22 00:00:00+00:00,AUDUSD,BUY,0.6613300000000001,0.14,0.657845,,monday_drift,0.6,48.7900000000014,61.0399999999986,0.66569,time_stop
4,2025-12-29 00:00:00+00:00,AUDUSD,BUY,0.6717400000000001,0.16,0.668692142857143,,monday_drift,0.6,48.7657142857136,-48.7657142857136,0.668692142857143,stop_loss
5,2026-01-05 00:00:00+00:00,AUDUSD,BUY,0.66824,0.17,0.6653457142857143,,monday_drift,0.6,49.2028571428569,55.76,0.67152,time_stop
6,2026-01-12 00:00:00+00:00,AUDUSD,BUY,0.66951,0.14,0.6661157142857143,,monday_drift,0.6,47.5199999999998,24.64,0.67127,time_stop
7,2026-01-19 00:00:00+00:00,AUDUSD,BUY,0.6680300000000001,0.13,0.6643114285714287,,monday_drift,0.6,48.3414285714282,44.3299999999987,0.67144,time_stop
8,2026-01-26 00:00:00+00:00,AUDUSD,BUY,0.69112,0.11,0.6867628571428572,,monday_drift,0.6,47.9285714285708,7.1500000000011,0.6917700000000001,time_stop
9,2026-02-02 00:00:00+00:00,AUDUSD,BUY,0.6969200000000001,0.07,0.690537142857143,,monday_drift,0.6,44.6799999999997,-16.24,0.6946000000000001,time_stop
10,2026-02-09 00:00:00+00:00,AUDUSD,BUY,0.70315,0.06,0.6953607142857143,,monday_drift,0.6,46.7357142857142,37.92,0.70947,time_stop
11,2026-02-16 00:00:00+00:00,AUDUSD,BUY,0.70713,0.07,0.7002292857142858,,monday_drift,0.6,48.3049999999994,2.6600000000007,0.7075100000000001,time_stop
12,2026-02-23 00:00:00+00:00,AUDUSD,BUY,0.71022,0.08,0.7044600000000001,,monday_drift,0.6,46.0799999999992,-37.04,0.70559,time_stop
13,2026-03-02 00:00:00+00:00,AUDUSD,BUY,0.7063600000000001,0.09,0.7008857142857143,,monday_drift,0.6,49.2685714285722,18.9,0.7084600000000001,time_stop
14,2026-03-09 00:00:00+00:00,AUDUSD,BUY,0.69664,0.06,0.6887871428571428,,monday_drift,0.6,47.1171428571432,65.88,0.70762,time_stop
15,2026-03-16 00:00:00+00:00,AUDUSD,BUY,0.70157,0.05,0.6924957142857143,,monday_drift,0.6,45.3714285714285,27.5000000000005,0.7070700000000001,time_stop
16,2026-04-20 00:00:00+00:00,AUDUSD,BUY,0.7137300000000001,0.07,0.7072192857142858,,monday_drift,0.6,45.5750000000001,28.4199999999993,0.71779,time_stop
17,2026-04-27 00:00:00+00:00,AUDUSD,BUY,0.71466,0.09,0.7092764285714286,,monday_drift,0.6,48.4521428571426,36.0000000000009,0.7186600000000001,time_stop
18,2026-05-04 00:00:00+00:00,AUDUSD,BUY,0.7211,0.09,0.7159178571428572,,monday_drift,0.6,46.6392857142852,-46.6392857142852,0.7159178571428572,stop_loss
19,2026-05-11 00:00:00+00:00,AUDUSD,BUY,0.72333,0.09,0.7178585714285715,,monday_drift,0.6,49.2428571428565,14.5800000000009,0.7249500000000001,time_stop
20,2026-05-18 00:00:00+00:00,AUDUSD,BUY,0.71247,0.1,0.70755,,monday_drift,0.6,49.2,45.000000000001,0.7169700000000001,time_stop
21,2026-05-25 00:00:00+00:00,AUDUSD,BUY,0.7157300000000001,0.09,0.7105192857142858,,monday_drift,0.6,46.8964285714287,15.39,0.7174400000000001,time_stop
22,2026-06-01 00:00:00+00:00,AUDUSD,BUY,0.71827,0.09,0.7130164285714287,,monday_drift,0.6,47.2821428571417,-19.3499999999991,0.7161200000000001,time_stop
