entry_ts,exit_ts,path,side,entry,exit,sl0,tp0,lot,reason,regime,bars,pnl,risk_usd,r,max_fav_pct,stage,balance,rr,mfe_pts,mae_pts,pts,stop_pts,mins,month
2022-03-01 07:30:00+00:00,2022-03-01 11:10:00+00:00,HTF,buy,1907.978,1922.2420351736866,1891.4481758684333,1924.5078241315668,0.02,stop_loss,RANGING,44,28.52807034737316,33.05964826313357,0.8629272193190938,110.54564074341364,trail,1028.5280703473732,1.0,18.27299999999991,1.8100000000001728,14.26403517368658,16.529824131566784,220.0,2022-03
2022-03-01 14:40:00+00:00,2022-03-01 19:20:00+00:00,HTF,buy,1921.517,1937.2398891729267,1895.0264458646338,1948.0075541353663,0.02,stop_loss,RANGING,56,31.44577834585334,52.98110827073243,0.5935281343147076,80.10779952567663,trail,1059.9738486932265,1.0,21.221000000000004,3.6340000000000146,15.72288917292667,26.49055413536621,280.0,2022-03
2022-03-03 06:50:00+00:00,2022-03-03 12:55:00+00:00,HTF,buy,1928.153,1929.917061703646,1908.5123829635409,1947.7936170364592,0.02,stop_loss,RANGING,73,3.528123407291787,39.28123407291832,0.08981702053307389,53.4860996500227,locked,1063.5019721005183,1.0,10.504999999999882,4.588999999999942,1.7640617036458934,19.64061703645916,365.0,2022-03
2022-03-04 06:55:00+00:00,2022-03-04 14:30:00+00:00,HTF,sell,1935.572,1954.648112591438,1954.4481125914378,1916.695887408562,0.02,stop_loss,RANGING,91,-38.15222518287601,37.75222518287592,-1.0105954019415397,8.762397405651397,raw,1025.3497469176423,1.0,1.6539999999999964,20.06600000000003,-19.076112591438005,18.87611259143796,455.0,2022-03
2022-03-07 08:20:00+00:00,2022-03-08 15:10:00+00:00,HTF,buy,1997.208,2048.358,1960.476652386088,2052.305021420868,0.02,stop_gap,WEAK,358,102.3000000000002,73.46269522782404,1.3925435172606355,120.13353588462918,trail,1127.6497469176425,1.5,66.19000000000005,36.330000000000155,51.15000000000009,36.73134761391202,1850.0,2022-03
2022-03-08 16:15:00+00:00,2022-03-09 14:05:00+00:00,HTF,buy,2059.048,1979.2155755250426,1979.4155755250426,2178.4966367124352,0.02,stop_loss,WEAK,250,-159.66484894991436,159.26484894991427,-1.0025115397568103,9.468504883172892,raw,967.9848979677281,1.5,11.3100000000004,83.03999999999974,-79.83242447495718,79.63242447495713,1310.0,2022-03
2022-03-09 17:15:00+00:00,2022-03-15 15:50:00+00:00,HTF,sell,1993.348,1922.3828603930913,2023.8177207861822,1917.1736980345443,0.02,stop_loss,STRONG,1099,141.93027921381736,60.93944157236456,2.3290380671650484,113.42407842369389,trail,1109.9151771815455,2.5,86.39999999999986,15.713999999999942,70.96513960690868,30.46972078618228,8555.0,2022-03
2022-03-16 13:20:00+00:00,2022-03-16 14:40:00+00:00,HTF,sell,1917.648,1915.1970533842828,1935.3209774381146,1891.1385338428279,0.02,stop_loss,WEAK,16,4.901893231434315,35.34595487622937,0.13868328776515537,51.868264409692735,locked,1114.8170704129798,1.5,13.75,2.1950000000001637,2.4509466157171573,17.672977438114685,80.0,2022-03
2022-03-17 08:00:00+00:00,2022-03-18 19:30:00+00:00,HTF,buy,1936.758,1918.9790306846107,1919.1790306846108,1963.126453973084,0.02,stop_loss,WEAK,414,-35.55793863077861,35.15793863077852,-1.0113772313047362,49.263411549497,raw,1079.2591317822012,1.5,12.990000000000009,18.519999999999982,-17.778969315389304,17.57896931538926,2130.0,2022-03
2022-03-21 12:05:00+00:00,2022-03-21 14:05:00+00:00,HTF,sell,1925.123,1935.5806999050753,1935.3806999050753,1909.7364501423872,0.02,stop_loss,WEAK,24,-20.915399810150575,20.515399810150484,-1.0194975483637507,47.21656295420619,raw,1058.3437319720506,1.5,7.2650000000001,10.294999999999845,-10.457699905075287,10.257699905075242,120.0,2022-03
