series,window,max_period,n_eval,n_period,median_period,ratio,p25,p75,median_prom,pct_tradeable,method
gold,96,48.0,4703,4703,46.452480430642666,0.9677600089717222,36.49874079344262,46.452480430642666,1.2667738127316748,1.275781416117372,mesa
phase_surrogate,96,48.0,4703,4703,46.452480430642666,0.9677600089717222,36.49874079344262,46.452480430642666,1.2746455042280305,2.12630236019562,mesa
random_walk,96,48.0,4703,4703,46.452480430642666,0.9677600089717222,36.49874079344262,46.452480430642666,1.2991115413901189,2.466510737826919,mesa
sine30,96,48.0,4703,4703,30.057980137851423,0.6262079195385714,29.199205781602735,30.968799812950866,21.756958490815077,98.80927067829046,mesa
gold,192,96.0,4689,4689,44.43289710836618,0.4628426782121477,39.30622588311128,56.77466778764229,1.844775909115854,5.139688632970783,mesa
phase_surrogate,192,96.0,4689,4689,44.43289710836618,0.4628426782121477,37.85049484151827,56.77466778764229,1.868848440322383,8.679889102153977,mesa
random_walk,192,96.0,4689,4689,44.43289710836618,0.4628426782121477,37.85049484151827,56.77466778764229,1.8682550420391983,6.18468756664534,mesa
sine30,192,96.0,4689,4689,30.057980137851423,0.3131039597692857,30.057980137851423,30.057980137851423,66.73852807248343,99.914693964598,mesa
gold,384,192.0,4660,4660,53.7866880999426,0.28013900052053436,42.58160522985441,170.30466538132745,1.647255767314827,4.377682403433476,mesa
phase_surrogate,384,192.0,4660,4660,63.8710479789063,0.3326617082234703,42.58160522985441,170.30466538132745,1.4682052529776413,7.124463519313305,mesa
random_walk,384,192.0,4660,4660,53.7866880999426,0.28013900052053436,42.58160522985441,170.30466538132745,1.6856395606020598,3.819742489270386,mesa
sine30,384,192.0,4660,4660,30.057980137851423,0.15655197988464284,30.057980137851423,30.057980137851423,75.96136054474658,99.91416309012875,mesa
gold,96,48.0,4703,4703,32.0,0.6666666666666666,32.0,32.0,0.995255748952714,0.0,fft
phase_surrogate,96,48.0,4703,4703,32.0,0.6666666666666666,32.0,32.0,0.9892350157717592,0.0,fft
random_walk,96,48.0,4703,4703,32.0,0.6666666666666666,32.0,32.0,0.9940727972951682,0.0,fft
sine30,96,48.0,4703,4703,32.0,0.6666666666666666,32.0,32.0,0.6320521698956565,0.0,fft
gold,192,96.0,4689,4689,64.0,0.6666666666666666,42.666666666666664,64.0,0.8909893262989136,0.0,fft
phase_surrogate,192,96.0,4689,4689,64.0,0.6666666666666666,42.666666666666664,64.0,0.9418909510526554,0.0,fft
random_walk,192,96.0,4689,4689,64.0,0.6666666666666666,42.666666666666664,64.0,0.931739327180661,0.0,fft
sine30,192,96.0,4689,4689,32.0,0.3333333333333333,32.0,32.0,2.470771026861873,0.0,fft
gold,384,192.0,4660,4660,85.33333333333333,0.4444444444444444,64.0,128.0,0.8860682308536927,0.0,fft
phase_surrogate,384,192.0,4660,4660,85.33333333333333,0.4444444444444444,51.2,128.0,0.9168252326534267,0.0,fft
random_walk,384,192.0,4660,4660,85.33333333333333,0.4444444444444444,51.2,128.0,0.9271082727693544,0.0,fft
sine30,384,192.0,4660,4660,28.444444444444443,0.14814814814814814,28.444444444444443,28.444444444444443,6.311717862662597,99.91416309012875,fft
