entry_ts,exit_ts,path,side,entry,exit,sl0,tp0,lot,reason,regime,bars,pnl,risk_usd,r,max_fav_pct,stage,balance,rr,mfe_pts,mae_pts,pts,stop_pts,mins,month
2022-03-01 14:40:00+00:00,2022-03-01 21:15:00+00:00,HTF,buy,1921.517,1944.289990881441,1893.5769544072061,1949.457045592794,0.02,stop_loss,RANGING,79,45.54598176288209,55.880091185587844,0.8150663464670393,102.2224530920814,trail,1045.545981762882,1.0,28.560999999999922,3.6340000000000146,22.772990881441046,27.940045592793922,395.0,2022-03
2022-03-02 06:50:00+00:00,2022-03-06 23:15:00+00:00,HTF,buy,1938.368,1985.4834570357207,1909.9952851786043,1966.7407148213956,0.02,stop_loss,RANGING,737,94.23091407144148,56.74542964279136,1.6605903711473982,186.76393969899772,trail,1139.7768958343236,1.0,52.99000000000001,24.62999999999988,47.11545703572074,28.372714821395675,6745.0,2022-03
2022-03-07 08:20:00+00:00,2022-03-07 13:30:00+00:00,HTF,buy,1997.208,1964.3352495742395,1964.5352495742395,2046.217125638641,0.02,stop_loss,WEAK,62,-65.74550085152123,65.34550085152114,-1.0061213089621728,10.834716863043397,raw,1074.0313949828023,1.5,5.309999999999945,33.721000000000004,-32.872750425760614,32.67275042576057,310.0,2022-03
2022-03-07 17:05:00+00:00,2022-03-08 15:10:00+00:00,HTF,buy,1983.848,2048.358,1938.1843919975474,2052.3434120036786,0.02,stop_gap,WEAK,253,129.02000000000044,91.32721600490504,1.4127223586129132,116.1391656359813,trail,1203.0513949828028,1.5,79.55000000000018,4.649999999999864,64.51000000000022,45.66360800245252,1325.0,2022-03
2022-03-08 16:15:00+00:00,2022-03-09 10:00:00+00:00,HTF,buy,2059.048,2011.3955132328056,2011.5955132328056,2130.226730150791,0.02,stop_loss,WEAK,201,-95.30497353438841,94.90497353438832,-1.0042147422321883,15.88957821534653,raw,1107.7464214484144,1.5,11.3100000000004,48.85999999999967,-47.652486767194205,47.45248676719416,1065.0,2022-03
2022-03-09 17:15:00+00:00,2022-04-12 14:50:00+00:00,HTF,sell,1993.348,1978.2644812810993,2054.482074875603,1840.5128128109927,0.02,stop_loss,STRONG,6607,30.16703743780135,122.26814975120578,0.2467285020603156,67.6218624132607,locked,1137.9134588862157,2.5,103.34999999999991,15.713999999999942,15.083518718900677,61.13407487560289,48815.0,2022-03
2022-04-12 16:55:00+00:00,2022-04-18 17:40:00+00:00,HTF,buy,1974.118,1978.3051112835255,1944.8705914431623,2017.9891128352565,0.02,stop_loss,WEAK,837,8.37422256705122,58.49481711367525,0.14316178732172574,55.04761206009846,locked,1146.287681453267,1.5,24.15000000000009,13.705999999999904,4.18711128352561,29.247408556837627,8685.0,2022-04
2022-04-19 15:35:00+00:00,2022-04-22 12:15:00+00:00,HTF,buy,1953.728,1929.8661204770553,1930.0661204770554,1989.220819284417,0.02,stop_loss,WEAK,788,-47.72375904588944,47.32375904588935,-1.00845241392621,12.622271463137743,raw,1098.5639224073775,1.5,4.480000000000018,24.180000000000064,-23.86187952294472,23.661879522944673,4120.0,2022-04
2022-04-22 14:45:00+00:00,2022-04-25 13:15:00+00:00,HTF,sell,1933.408,1898.5373680151972,1956.6225600506573,1898.5861599240138,0.02,stop_loss,WEAK,258,69.74126396960537,46.429120101314766,1.5021017804649384,120.71447088457607,trail,1168.3051863769829,1.5,42.034999999999854,7.310000000000173,34.870631984802685,23.214560050657383,4230.0,2022-04
2022-04-25 13:55:00+00:00,2022-05-04 19:10:00+00:00,HTF,sell,1896.463,1889.4123889265343,1925.465444293863,1823.9568892653426,0.02,stop_loss,STRONG,1995,14.101222146931377,58.00488858772588,0.24310402950959664,63.6567035968987,locked,1182.4064085239143,2.5,46.15499999999997,23.375,7.050611073465689,29.002444293862936,13275.0,2022-04
2022-05-05 11:40:00+00:00,2022-05-05 16:00:00+00:00,HTF,buy,1897.1680000000001,1873.8756144592294,1874.0756144592294,1931.806578311156,0.02,stop_loss,WEAK,52,-46.584771081541476,46.184771081541385,-1.0086608635407952,35.985888011995456,raw,1135.8216374423728,1.5,12.464999999999918,24.535000000000082,-23.292385540770738,23.092385540770692,260.0,2022-05
2022-05-09 10:10:00+00:00,2022-05-10 02:30:00+00:00,HTF,sell,1862.243,1860.3095129246385,1883.5778707536138,1840.9081292463861,0.02,stop_loss,RANGING,184,3.8669741507228537,42.66974150722763,0.09062567557546242,50.082328238103166,locked,1139.6886115930956,1.0,10.684999999999945,9.205000000000155,1.9334870753614268,21.334870753613814,980.0,2022-05
2022-05-10 07:00:00+00:00,2022-05-10 16:35:00+00:00,HTF,sell,1860.088,1846.2003399700575,1880.4996998502877,1839.6763001497122,0.02,stop_loss,RANGING,115,27.77532005988496,40.823399700575465,0.6803774370485226,91.98156027037211,trail,1167.4639316529806,1.0,18.774999999999864,4.884999999999991,13.88766002994248,20.411699850287732,575.0,2022-05
2022-05-11 15:15:00+00:00,2022-05-12 22:25:00+00:00,HTF,buy,1849.474,1819.9846639999384,1820.1846639999385,1893.4080040000922,0.02,stop_loss,WEAK,350,-58.97867200012297,58.57867200012288,-1.006828423833153,21.017888558440422,raw,1108.4852596528576,1.5,9.234000000000151,31.576000000000022,-29.489336000061485,29.28933600006144,1870.0,2022-05
2022-05-13 09:10:00+00:00,2022-05-13 13:20:00+00:00,HTF,buy,1823.048,1800.4258713766644,1800.6258713766645,1879.1033215583388,0.02,stop_loss,STRONG,50,-45.24425724667117,44.84425724667108,-1.0089197597319952,2.633113072884182,raw,1063.2410024061865,2.5,1.4759999999998854,24.079999999999927,-22.622128623335584,22.42212862333554,250.0,2022-05
2022-05-13 17:20:00+00:00,2022-05-19 12:35:00+00:00,HTF,sell,1811.273,1839.7399468228919,1839.5399468228918,1740.6056329427702,0.02,stop_loss,STRONG,1047,-56.93389364578388,56.53389364578379,-1.0070754015724852,34.86050354762675,raw,1006.3071087604026,2.5,24.63499999999999,29.845000000000027,-28.46694682289194,28.266946822891896,8355.0,2022-05
2022-05-19 13:10:00+00:00,2022-05-22 22:15:00+00:00,HTF,buy,1840.6380000000001,1843.436325747012,1820.6491616865878,1870.6212574701185,0.02,stop_loss,WEAK,373,5.5966514940237175,39.97767662682463,0.13999441604038637,57.43205192818505,locked,1011.9037602544263,1.5,17.2199999999998,8.460000000000036,2.7983257470118588,19.988838313412316,4865.0,2022-05
2022-05-23 08:05:00+00:00,2022-05-31 19:45:00+00:00,HTF,buy,1857.8780000000002,1837.8599829725676,1838.0599829725677,1887.6050255411487,0.02,stop_loss,WEAK,1766,-40.03603405486501,39.63603405486492,-1.0100918270341175,39.34130572132603,raw,971.8677261995613,1.5,11.694999999999936,20.34400000000005,-20.018017027432506,19.81801702743246,12220.0,2022-05
2022-06-01 09:35:00+00:00,2022-06-01 13:00:00+00:00,HTF,sell,1829.4279999999999,1846.1344541404746,1845.9344541404746,1804.6683187892877,0.02,stop_loss,WEAK,41,-33.41290828094952,33.01290828094943,-1.0121164726414278,2.673701629540348,raw,938.4548179186118,1.5,0.6619999999998072,17.27000000000021,-16.70645414047476,16.506454140474716,205.0,2022-06
2022-06-02 12:25:00+00:00,2022-06-03 03:10:00+00:00,HTF,buy,1855.8980000000001,1869.2594185747212,1840.8860619157376,1878.415907126394,0.02,stop_loss,WEAK,165,26.722837149442057,30.02387616852502,0.8900528699041349,80.22504000305346,trail,965.1776550680538,1.5,18.064999999999827,5.150000000000091,13.361418574721029,15.01193808426251,885.0,2022-06
