trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,pnl,exit_price,exit_reason
15,2025-06-23 12:00:00+00:00,XAUUSD,BUY,3363.2,0.02,3358.675714285714,3372.1885714285713,continuation_breakout,0.6286842124281606,17.977142857142972,3372.1885714285713,take_profit
16,2025-06-30 05:00:00+00:00,XAUUSD,BUY,3277.94,0.02,3270.4885714285715,3292.7828571428568,continuation_breakout,0.545406811337258,29.685714285713757,3292.7828571428568,take_profit
17,2025-07-14 10:25:00+00:00,XAUUSD,BUY,3374.59,0.02,3368.76,3386.19,continuation_breakout,0.6155208940153444,-11.65999999999989,3368.76,stop_loss
18,2025-07-15 08:05:00+00:00,XAUUSD,BUY,3362.74,0.02,3360.0814285714287,3367.997142857143,continuation_breakout,0.7764212236058567,-5.31714285714306,3360.0814285714287,stop_loss
19,2025-07-18 12:35:00+00:00,XAUUSD,BUY,3354.56,0.02,3350.9342857142856,3361.7514285714287,continuation_breakout,0.5138330143167781,-7.251428571428769,3350.9342857142856,stop_loss
20,2025-08-27 16:05:00+00:00,XAUUSD,BUY,3383.78,0.02,3379.397142857143,3392.4857142857145,continuation_breakout,0.5507447523267502,-8.765714285714276,3379.397142857143,stop_loss
21,2025-08-28 04:20:00+00:00,XAUUSD,SELL,3389.16,0.02,3393.4314285714286,3380.677142857143,continuation_breakout,0.4961682368641766,-8.542857142857075,3393.4314285714286,stop_loss
22,2025-08-28 10:10:00+00:00,XAUUSD,BUY,3396.74,0.02,3392.825714285714,3404.5085714285715,continuation_breakout,0.5886231308225365,15.537142857142982,3404.5085714285715,take_profit
23,2025-09-02 22:35:00+00:00,XAUUSD,BUY,3539.93,0.02,3535.328571428571,3549.072857142857,continuation_breakout,0.5625008446048236,-9.20285714285732,3535.328571428571,stop_loss
24,2025-09-03 20:30:00+00:00,XAUUSD,BUY,3573.66,0.02,3569.9585714285713,3581.002857142857,continuation_breakout,0.7239174515411088,-7.402857142857008,3569.9585714285713,stop_loss
25,2025-09-05 23:45:00+00:00,XAUUSD,SELL,3587.58,0.02,3591.8385714285714,3579.122857142857,continuation_breakout,0.620419911083023,-8.517142857143138,3591.8385714285714,stop_loss
26,2025-09-12 11:45:00+00:00,XAUUSD,SELL,3641.65,0.02,3646.582857142857,3631.844285714286,continuation_breakout,0.6390729031298389,-9.86571428571412,3646.582857142857,stop_loss
27,2025-09-15 16:20:00+00:00,XAUUSD,BUY,3651.33,0.02,3645.1614285714286,3663.607142857143,continuation_breakout,0.5796181917938839,24.554285714286213,3663.607142857143,take_profit
28,2025-10-17 20:00:00+00:00,XAUUSD,SELL,4195.28,0.02,4221.671428571428,4142.557142857144,continuation_breakout,0.7037415631720567,-52.782857142856464,4221.671428571428,stop_loss
29,2025-10-21 17:20:00+00:00,XAUUSD,SELL,4152.97,0.02,4186.792857142857,4085.384285714286,continuation_breakout,0.6701509930250584,135.17142857142852,4085.384285714286,take_profit
30,2025-10-24 16:05:00+00:00,XAUUSD,BUY,4110.84,0.02,4091.157142857143,4150.145714285714,continuation_breakout,0.709529071465484,-39.36571428571425,4091.157142857143,stop_loss
31,2025-10-29 09:55:00+00:00,XAUUSD,BUY,4001.52,0.02,3990.4728571428573,4023.554285714286,continuation_breakout,0.6964021016522254,44.06857142857172,4023.554285714286,take_profit
32,2025-11-05 06:30:00+00:00,XAUUSD,BUY,3967.57,0.02,3961.14,3980.37,continuation_breakout,0.7911856474258937,25.600000000000197,3980.37,take_profit
33,2025-11-06 05:20:00+00:00,XAUUSD,BUY,3986.31,0.02,3980.092857142857,3998.684285714286,continuation_breakout,0.6677746364901319,24.74857142857175,3998.684285714286,take_profit
34,2025-11-12 18:30:00+00:00,XAUUSD,BUY,4193.86,0.02,4179.63,4222.26,continuation_breakout,0.7526741731175283,56.79999999999962,4222.26,take_profit
35,2025-11-17 21:25:00+00:00,XAUUSD,SELL,4056.49,0.02,4065.6828571428573,4038.1642857142856,continuation_breakout,0.587691931706534,36.651428571429115,4038.1642857142856,take_profit
36,2025-11-19 19:00:00+00:00,XAUUSD,SELL,4060.93,0.02,4080.174285714286,4022.5014285714287,continuation_breakout,0.8284870327710496,-38.48857142857121,4080.174285714286,stop_loss
37,2025-11-24 23:40:00+00:00,XAUUSD,BUY,4139.32,0.02,4133.881428571429,4150.137142857143,continuation_breakout,0.7691405220142515,-10.87714285714294,4133.881428571429,stop_loss
38,2025-11-25 19:30:00+00:00,XAUUSD,BUY,4157.47,0.02,4146.435714285714,4179.478571428572,continuation_breakout,0.5872302821478693,-22.068571428572053,4146.435714285714,stop_loss
39,2025-11-26 05:05:00+00:00,XAUUSD,BUY,4166.82,0.02,4157.271428571428,4185.857142857143,continuation_breakout,0.6497895397764603,-19.097142857143325,4157.271428571428,stop_loss
40,2025-12-15 18:30:00+00:00,XAUUSD,SELL,4290.89,0.02,4306.667142857143,4259.395714285714,continuation_breakout,0.5705221800651873,-31.55428571428551,4306.667142857143,stop_loss
41,2026-01-08 07:05:00+00:00,XAUUSD,SELL,4427.78,0.02,4433.344285714285,4416.711428571429,continuation_breakout,0.6255462648311011,22.13714285714205,4416.711428571429,take_profit
42,2026-01-09 02:50:00+00:00,XAUUSD,SELL,4462.0,0.02,4468.498571428571,4449.062857142857,continuation_breakout,0.7115664696435903,-12.9971428571427,4468.498571428571,stop_loss
43,2026-01-15 13:30:00+00:00,XAUUSD,BUY,4621.54,0.02,4615.765714285714,4633.028571428571,continuation_breakout,0.6777909375946668,-11.548571428571096,4615.765714285714,stop_loss
44,2026-02-09 18:00:00+00:00,XAUUSD,BUY,5067.09,0.02,5050.161428571429,5100.887142857143,continuation_breakout,0.627820150960498,-33.85714285714328,5050.161428571429,stop_loss
45,2026-03-04 01:45:00+00:00,XAUUSD,BUY,5182.7201953125,0.02,5156.98583984375,5234.12890625,continuation_breakout,0.6287836142665149,-51.4687109375,5156.98583984375,stop_loss
46,2026-03-27 14:45:00+00:00,XAUUSD,BUY,4503.3198046875,0.02,4477.0712890625,4555.7568359375,continuation_breakout,0.480412793068914,104.8740625,4555.7568359375,take_profit
47,2026-04-07 22:30:00+00:00,XAUUSD,BUY,4788.8198046875,0.02,4760.58544921875,4845.228515625,continuation_breakout,0.6897091833258169,112.817421875,4845.228515625,take_profit
48,2026-04-14 17:35:00+00:00,XAUUSD,BUY,4862.2201953125,0.02,4847.828752790178,4890.943080357143,continuation_breakout,0.6919036339143367,57.44577008928571,4890.943080357143,take_profit
49,2026-04-17 20:35:00+00:00,XAUUSD,SELL,4862.7798046875,0.02,4871.428431919643,4845.542550223215,continuation_breakout,0.5945179989654044,-17.297254464285714,4871.428431919643,stop_loss
